page	lines	blanklines	sentences	words
1	22	12	1	28
2	3	1	0	3
3	2	1	0	2
4	16	9	1	20
5	25	10	6	75
6	32	1	18	275
7	29	2	20	238
8	45	0	682	818
9	51	1	667	871
10	53	1	598	677
11	52	1	601	872
12	51	1	501	667
13	62	1	817	781
14	42	1	648	611
15	48	8	34	379
16	43	3	20	380
17	45	4	22	393
18	38	9	27	272
19	40	3	27	347
20	50	10	52	402
21	51	6	37	441
22	49	6	59	461
23	51	8	49	461
24	50	8	31	362
25	52	3	68	548
26	51	7	46	443
27	49	7	40	438
28	49	4	36	376
29	52	7	57	486
30	48	3	47	441
31	49	3	27	440
32	45	3	46	438
33	49	7	36	424
34	48	4	65	471
35	43	4	25	374
36	51	7	57	462
37	49	5	45	444
38	48	5	57	441
39	56	6	80	525
40	47	8	32	372
41	51	9	59	404
42	50	4	51	407
43	46	2	31	408
44	46	5	31	357
45	48	5	30	408
46	46	2	32	380
47	47	5	36	368
48	46	5	37	394
49	44	4	26	343
50	47	3	22	435
51	47	10	34	370
52	50	7	57	445
53	51	8	48	439
54	47	2	24	401
55	52	3	49	600
56	51	5	42	499
57	44	2	13	392
58	47	3	39	409
59	52	10	41	357
60	48	6	29	397
61	46	6	32	335
62	44	2	18	389
63	47	2	19	469
64	49	7	59	404
65	47	5	24	367
66	52	5	48	498
67	48	5	43	382
68	49	6	38	378
69	51	9	48	389
70	48	7	32	379
71	46	3	35	402
72	43	1	22	406
73	49	4	41	458
74	45	5	24	365
75	52	9	44	417
76	49	6	26	419
77	49	5	52	454
78	46	2	55	430
79	46	4	29	391
80	45	3	25	358
81	43	1	29	411
82	48	4	36	472
83	46	2	23	435
84	50	9	62	419
85	51	5	62	456
86	58	6	108	533
87	49	4	40	382
88	52	6	53	429
89	53	7	95	518
90	48	4	32	438
91	45	3	27	416
92	45	3	44	438
93	47	4	34	411
94	49	5	33	451
95	52	6	74	489
96	53	8	86	497
97	47	5	51	417
98	51	5	76	499
99	46	4	36	407
100	50	4	101	501
101	48	4	51	419
102	51	8	63	432
103	49	5	54	421
104	52	6	64	497
105	52	6	47	447
106	49	3	56	480
107	51	3	52	539
108	49	6	54	393
109	47	6	46	349
110	50	7	57	394
111	46	6	37	360
112	51	4	34	443
113	51	4	39	507
114	53	5	62	520
115	47	2	55	426
116	45	4	22	367
117	50	5	36	463
118	46	4	35	415
119	47	4	31	411
120	50	7	72	441
121	53	5	41	503
122	49	3	48	391
123	48	4	33	434
124	47	3	38	409
125	52	4	57	540
126	49	3	46	437
127	51	5	44	397
128	50	7	48	443
129	52	5	45	402
130	48	5	32	404
131	50	4	64	436
132	48	4	37	414
133	48	5	40	412
134	42	5	25	349
135	48	5	49	414
136	53	5	64	540
137	50	4	34	468
138	46	6	31	424
139	43	3	10	352
140	45	4	37	384
141	50	6	63	402
142	47	4	39	352
143	49	5	46	373
144	45	5	30	356
145	49	2	47	452
146	49	3	56	427
147	49	4	66	432
148	47	3	24	436
149	48	6	48	419
150	55	8	93	517
151	49	2	22	455
152	47	5	24	371
153	48	4	37	401
154	42	3	18	324
155	48	4	37	400
156	50	3	40	420
157	49	4	30	411
158	51	6	25	438
159	46	4	28	347
160	47	4	33	390
161	48	5	21	407
162	49	2	34	503
163	47	6	23	379
164	54	8	77	399
165	61	10	95	346
166	48	5	59	377
167	48	6	52	429
168	49	4	34	456
169	43	3	25	398
170	44	2	31	396
171	52	5	41	509
172	48	3	27	451
173	44	3	26	388
174	43	4	36	381
175	44	3	25	375
176	51	6	36	480
177	46	4	22	384
178	49	3	31	448
179	45	2	31	409
180	48	7	54	408
181	48	2	46	389
182	47	5	33	402
183	52	4	35	487
184	48	2	37	457
185	44	3	24	360
186	50	3	34	415
187	48	2	36	404
188	44	4	21	377
189	49	4	41	456
190	50	3	24	486
191	45	2	40	422
192	46	5	31	405
193	46	6	23	396
194	50	8	45	354
195	48	5	40	435
196	51	3	52	474
197	49	7	27	399
198	45	5	36	318
199	48	8	31	380
200	46	4	28	399
201	48	4	51	431
202	48	3	28	418
203	49	4	43	474
204	44	4	16	349
205	48	2	32	433
206	44	6	29	374
207	46	4	37	413
208	47	3	32	433
209	48	5	33	419
210	48	6	20	376
211	46	3	24	426
212	45	2	21	395
213	45	5	21	352
214	44	2	35	418
215	48	6	25	401
216	44	1	20	440
217	49	7	41	382
218	43	1	20	445
219	47	6	33	358
220	44	2	14	384
221	47	6	32	349
222	47	7	28	358
223	52	6	56	471
224	47	2	25	522
225	50	3	47	530
226	53	6	71	448
227	50	5	38	440
228	52	6	57	491
229	49	6	47	427
230	52	5	50	507
231	51	5	52	470
232	50	5	46	450
233	53	5	76	469
234	51	2	53	471
235	49	4	48	436
236	50	5	37	389
237	51	3	48	457
238	48	2	28	475
239	52	5	38	461
240	51	4	44	498
241	51	3	47	460
242	50	4	40	470
243	52	4	59	452
244	50	4	63	488
245	52	7	51	466
246	53	7	59	501
247	52	7	51	476
248	47	6	30	371
249	44	5	26	381
250	44	6	22	345
251	44	2	17	356
252	45	4	21	342
253	44	4	32	370
254	51	5	76	487
255	51	5	72	441
256	42	5	12	301
257	44	3	18	358
258	46	3	28	403
259	47	3	25	379
260	47	9	26	356
261	48	6	42	434
262	53	5	73	482
263	50	6	37	396
264	51	4	34	454
265	55	6	54	444
266	48	4	39	429
267	51	4	71	539
268	45	2	41	410
269	49	5	21	426
270	47	5	38	403
271	47	6	39	360
272	50	6	36	461
273	46	2	34	426
274	51	6	54	484
275	52	4	75	579
276	46	2	18	400
277	50	6	45	394
278	52	4	68	465
279	46	4	26	371
280	45	3	28	391
281	47	3	35	397
282	47	4	53	452
283	50	4	27	435
284	48	2	38	419
285	49	3	38	478
286	48	6	30	386
287	47	4	34	418
288	46	5	21	412
289	50	5	64	475
290	45	8	25	343
291	48	3	30	385
292	51	6	32	474
293	51	6	49	433
294	50	5	60	458
295	48	3	36	421
296	45	5	20	368
297	51	6	41	445
298	45	3	32	384
299	47	4	40	423
300	49	4	29	430
301	51	6	37	392
302	52	3	46	456
303	46	4	43	417
304	45	2	29	390
305	51	3	73	500
306	45	2	25	367
307	49	4	44	452
308	48	5	65	444
309	55	7	96	539
310	53	5	61	487
311	45	6	21	422
312	47	6	22	403
313	50	4	45	432
314	50	5	33	416
315	47	5	40	394
316	50	5	41	401
317	49	8	33	347
318	48	9	26	371
319	46	3	18	389
320	49	4	17	464
321	46	4	27	395
322	46	4	16	411
323	47	4	18	392
324	45	5	18	387
325	50	5	56	479
326	49	4	31	445
327	47	3	43	396
328	48	5	42	437
329	44	5	23	378
330	47	3	31	436
331	51	9	45	390
332	50	6	35	371
333	51	5	21	437
334	45	3	17	392
335	49	6	43	432
336	48	5	37	357
337	47	4	25	372
338	49	5	54	434
339	49	5	43	491
340	50	4	41	500
341	45	3	26	438
342	49	3	51	447
343	44	4	27	397
344	45	3	16	371
345	45	2	34	414
346	49	5	60	432
347	46	2	28	392
348	45	4	19	380
349	49	7	49	431
350	47	6	30	407
351	46	4	27	433
352	45	2	47	446
353	44	4	19	388
354	44	4	25	376
355	48	3	26	470
356	47	5	24	380
357	45	5	18	401
358	49	6	38	373
359	46	5	24	379
360	49	4	35	400
361	44	2	20	372
362	44	2	23	409
363	44	3	19	422
364	45	4	20	378
365	45	2	29	431
366	44	2	17	404
367	45	4	15	404
368	47	3	24	448
369	45	6	19	389
370	46	3	25	408
371	44	3	15	396
372	43	5	27	317
373	44	7	75	433
374	50	10	43	338
375	53	10	64	448
376	44	4	41	389
377	53	9	81	428
378	44	2	26	404
379	44	6	37	366
380	42	1	49	407
381	45	7	27	365
382	47	6	20	417
383	49	8	46	397
384	49	4	33	373
385	43	3	33	366
386	50	2	55	401
387	51	2	53	375
388	49	6	39	328
389	53	5	103	399
390	50	4	70	401
391	51	7	56	398
392	48	5	36	472
393	47	8	27	385
394	45	2	42	418
395	47	6	28	399
396	47	4	33	346
397	54	2	84	448
398	43	2	14	387
399	57	5	54	387
400	63	16	57	475
401	64	14	71	486
402	54	11	54	457
403	36	1	14	328
404	14	5	15	73
405	34	1	17	286
406	42	1	15	336
407	39	1	18	315
408	38	1	17	330
409	46	1	25	426
410	46	6	29	391
411	49	4	33	521
412	45	1	27	475
413	46	8	9	408
414	45	1	22	481
415	43	1	20	396
416	35	4	65	326
417	38	3	54	318
418	38	2	78	358
419	40	4	69	328
420	42	3	65	314
421	44	5	54	310
422	44	8	78	328
423	42	3	85	311
424	37	3	63	344
425	41	5	69	327
426	37	3	63	332
427	43	1	75	334
428	40	3	77	346
429	40	3	72	318
430	39	2	79	349
431	42	4	60	343
432	53	4	54	312
433	49	3	71	344
434	42	5	56	320
435	40	3	73	306
436	48	12	76	313
437	44	7	64	324
438	40	5	74	339
439	38	3	75	337
440	44	5	58	325
441	38	3	74	352
442	38	1	71	350
443	43	9	54	279
444	44	7	63	312
445	39	4	77	346
446	49	14	79	335
447	39	4	81	347
448	47	3	85	345
449	40	5	77	337
450	44	8	68	348
451	43	6	66	322
452	39	4	74	333
453	48	13	66	309
454	42	4	57	335
455	40	2	89	360
456	40	4	73	361
457	46	4	59	323
458	37	1	64	338
459	43	6	59	297
460	44	3	68	318
461	39	4	77	345
462	46	4	69	367
463	38	1	59	298
464	19	3	23	130
465	67	0	3	338
466	79	1	3	356
467	72	1	0	410
468	66	1	7	382
469	64	1	9	382
470	85	1	2	358
471	64	1	3	346
472	73	1	2	363
473	64	2	2	365
474	64	1	31	363
475	60	1	15	358
